measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,187,Somalia,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,4.92675846354e-06,6.04150436181e-06,3.97916863319e-06
6,Incidence,187,Somalia,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,3.38539034405e-06,4.16600960801e-06,2.71269422406e-06
6,Incidence,106,The Bahamas,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.41890046296e-05,1.74711569428e-05,1.1370369517e-05
6,Incidence,106,The Bahamas,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.27781771807e-05,1.57332421536e-05,1.02203466122e-05
6,Incidence,35,Georgia,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1991,3.62881751254e-05,4.4531444976e-05,2.90715295652e-05
6,Incidence,35,Georgia,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1991,4.45515243264e-05,5.47371684061e-05,3.59607936897e-05
6,Incidence,125,Colombia,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.15580116863e-05,1.42237576897e-05,9.31032588356e-06
6,Incidence,125,Colombia,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,8.89556500085e-06,1.09837595853e-05,7.16427685088e-06
6,Incidence,66,Brunei,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,9.48568124555e-06,1.17189281459e-05,7.65427562186e-06
6,Incidence,66,Brunei,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,5.5982879538e-06,6.92772277913e-06,4.49428916715e-06
6,Incidence,85,Israel,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,3.30735219989e-05,4.09676254333e-05,2.59457811276e-05
6,Incidence,85,Israel,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,2.11080111108e-05,2.59671982794e-05,1.661230746e-05
6,Incidence,127,El Salvador,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.27250371984e-05,1.57305379721e-05,1.02552769112e-05
6,Incidence,127,El Salvador,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.06578575468e-05,1.30702794178e-05,8.64386854331e-06
6,Incidence,385,Puerto Rico,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,2.91736779945e-05,3.63044566966e-05,2.32326746877e-05
6,Incidence,385,Puerto Rico,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,2.21560921891e-05,2.7645338811e-05,1.74812662269e-05
6,Incidence,118,Suriname,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1991,1.53780028512e-05,1.91428041848e-05,1.19363633317e-05
6,Incidence,118,Suriname,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1991,1.19150472609e-05,1.47170312356e-05,9.41981429211e-06
6,Incidence,209,Guinea-Bissau,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,7.37410421929e-06,9.26432101957e-06,5.81299598973e-06
6,Incidence,209,Guinea-Bissau,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,4.58789933261e-06,5.77459186186e-06,3.67451814208e-06
6,Incidence,105,Antigua and Barbuda,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,2.36436336952e-05,2.94038596968e-05,1.88020629326e-05
6,Incidence,105,Antigua and Barbuda,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,2.02527724232e-05,2.52292615557e-05,1.61574294632e-05
6,Incidence,23,Kiribati,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.00837814588e-05,1.23388098959e-05,8.06028287429e-06
6,Incidence,23,Kiribati,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.02736157238e-05,1.27259593527e-05,8.13914735805e-06
6,Incidence,146,Lebanon,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.11602782106e-05,1.37850427704e-05,8.90467278675e-06
6,Incidence,146,Lebanon,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.01430354888e-05,1.23461072024e-05,8.23820302742e-06
6,Incidence,126,Costa Rica,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.5295302974e-05,1.90667193836e-05,1.22045907673e-05
6,Incidence,126,Costa Rica,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.22365582324e-05,1.52192942428e-05,9.65558405452e-06
6,Incidence,189,Tanzania,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,6.99031656063e-06,8.70886315115e-06,5.53483011436e-06
6,Incidence,189,Tanzania,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,4.39998280835e-06,5.40301623044e-06,3.49471621389e-06
6,Incidence,25,Federated States of Micronesia,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.18637821265e-05,1.48057086585e-05,9.37040615038e-06
6,Incidence,25,Federated States of Micronesia,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.07114584807e-05,1.31997825009e-05,8.5744967079e-06
6,Incidence,145,Kuwait,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,8.71484330014e-06,1.06015768257e-05,7.11904445795e-06
6,Incidence,145,Kuwait,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,5.47274132165e-06,6.53568677365e-06,4.45285996441e-06
6,Incidence,87,Luxembourg,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,3.9656845976e-05,4.94944943537e-05,3.15197709431e-05
6,Incidence,87,Luxembourg,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,3.18719643853e-05,3.98374373899e-05,2.50732953158e-05
6,Incidence,7,North Korea,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.9016867672e-05,2.33674390286e-05,1.5212884437e-05
6,Incidence,7,North Korea,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,2.38558155722e-05,2.91252235214e-05,1.92047349827e-05
6,Incidence,376,Northern Mariana Islands,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.1182752666e-05,1.35370667717e-05,8.98965229628e-06
6,Incidence,376,Northern Mariana Islands,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,6.8551390771e-06,8.25529622968e-06,5.54221830498e-06
6,Incidence,161,Bangladesh,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1991,7.66780102185e-06,9.46017955855e-06,6.12198952552e-06
6,Incidence,161,Bangladesh,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1991,5.18578197624e-06,6.37664450545e-06,4.13911364256e-06
6,Incidence,45,Bulgaria,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,5.18494471304e-05,6.25159150709e-05,4.18076572511e-05
6,Incidence,45,Bulgaria,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,4.38275955052e-05,5.32443986727e-05,3.52487696587e-05
6,Incidence,201,Burkina Faso,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1991,7.17966703266e-06,8.91814489348e-06,5.68562234605e-06
6,Incidence,201,Burkina Faso,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1991,5.09106006363e-06,6.27424041584e-06,4.07786078612e-06
6,Incidence,48,Hungary,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,4.3268799223e-05,5.33699396546e-05,3.40275909295e-05
6,Incidence,48,Hungary,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,4.47968264583e-05,5.66577386562e-05,3.53998907724e-05
6,Incidence,78,Denmark,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1991,3.78549352298e-05,4.73116168013e-05,3.04006364153e-05
6,Incidence,78,Denmark,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1991,2.7729430362e-05,3.44875961591e-05,2.19771556367e-05
6,Incidence,129,Honduras,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,9.11990659318e-06,1.12553532496e-05,7.33079553842e-06
6,Incidence,129,Honduras,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,6.9218702961e-06,8.57531106291e-06,5.55553628352e-06
6,Incidence,149,Palestine,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,9.82983609588e-06,1.22007342902e-05,7.79298574996e-06
6,Incidence,149,Palestine,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,8.08481659202e-06,9.8583114411e-06,6.58555047253e-06
6,Incidence,68,South Korea,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.2585772959e-05,1.56992453145e-05,1.00375845195e-05
6,Incidence,68,South Korea,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,1.12045782841e-05,1.38976311766e-05,9.07125089857e-06
6,Incidence,191,Zambia,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,5.42581157742e-06,6.67443929655e-06,4.31118751855e-06
6,Incidence,191,Zambia,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,2.82077129328e-06,3.50623296537e-06,2.25339960558e-06
6,Incidence,190,Uganda,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,5.41631057129e-06,6.62766555633e-06,4.33321737736e-06
6,Incidence,190,Uganda,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,3.16334128646e-06,3.92730024164e-06,2.51528828659e-06
6,Incidence,24,Marshall Islands,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,9.30317944405e-06,1.16280110843e-05,7.38156226721e-06
6,Incidence,24,Marshall Islands,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1990,8.09213035518e-06,1.01569768257e-05,6.41719448156e-06
6,Incidence,59,Latvia,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1991,3.30826981232e-05,4.11194464216e-05,2.67547331285e-05
6,Incidence,59,Latvia,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1991,4.6645871446e-05,5.71323228014e-05,3.75194007788e-05
6,Incidence,140,Bahrain,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1991,8.36802492502e-06,1.02164957074e-05,6.78983823506e-06
6,Incidence,140,Bahrain,2,Female,22,All Ages,544,Parkinson's disease,2,Percent,1991,6.23236398191e-06,7.61251483496e-06,5.03479397796e-06
6,Incidence,44,Bosnia and Herzegovina,1,Male,22,All Ages,544,Parkinson's disease,2,Percent,1990,2.5419117653e-05,3.10900016156e-05,2.02747133982e-05
